paper,date,page,chunk_idx,similarity,matched_query,event_type,description,location,participants,date_mentioned,source_text
baltimore-afro-american,1911-08-12,1,2,0.52,delegates to annual conference demands equal rights and attacks lynching,delegation,"Mrs. Maggie Walker and the Independent Order of St. Luke challenged Richmond's segregation law by applying to use the City Auditorium for their annual session, defying the Building Inspector's objection based on the Vonderleht segregation ordinance.","Richmond, Virginia","Mrs. Maggie Walker (head of the Independent Order of St. Luke), members of the Independent Order of St. Luke","August 10, 1911 (application); next week from August 10 for annual session","elegent style, and hotel accommodations will be provided for one hundred guests. With the fine tennis courts, croquet grounds, the lawn swings and comfortable seats in shady nooks and corners. Arkansas Baptist College will in many respects be the centre of a large amount of varied social activities. Philander Smith College will likewise be prepared to take charge of a large number of visitors, besides being the meeting place of the National Undertakers Association. The other auxiliary organizati"
st-louis-argus,1920-03-12,1,7,0.52,a committee of prominent colored citizens called upon the governor to present a petition,demonstration,Colored Republicans of Oklahoma's Second District held a separate convention to elect delegates to the National Convention after being excluded from the official Republican Congressional Convention held at a whites-only hotel.,"Muskogee, Oklahoma","Colored Republicans of the Second District of Oklahoma, including delegates W. A Wade, W. B. Winew, alternates J. R. Blaine and E. H. Nance","March 10, 1920","Although it was known among the Negroes Robinson was frightened with the police, he was not distrusted by those of his own race, and he often interceded for those who found themselves in trouble.

Colored Musicians' Convention In New York In July

Associated Negro Press)
NEW YORK
The National Association of Colored Musicians will hold their second annual convention in New York in July. Arrangements are being made to make the occasion the largest of the kind ever held in the country. The secretar"
broad-ax,1921-08-20,1,2,0.52,delegates to annual conference demands equal rights and attacks lynching,mass_meeting,"A convention being organized to address grievances including lynching, the Ku Klux Klan, labor discrimination, and other civil rights matters.","Chicago, Illinois",Organizations with at least twenty-five members; earnest self-sacrificing men and women,,"The Fort Dearborn Hospital is located 3831-35 Vernon avenue, and it is the largest colored institution in this city. It has seventy-five beds for patients and in the past and at the present time it is accomplishing much good for humanity.

gate each, from bona-fide organizations of not less than twenty-five members.

Matters to Be Acted Upon at the Convention.

We want only earnest self-sacrificing men and women to take action on:—

1. The proposed enactment of legislation by Congress making lyn"
baltimore-afro-american,1912-04-13,1,7,0.52,colored men representing political league called upon presidential candidate for interview,delegation,Colored voters organized a rival delegation to the National Republican Convention in response to being excluded from the Louisiana State Republican Convention.,"Alexandria, Louisiana and New Orleans, Louisiana","Colored delegates from Caddo parish, led by John L. Rogers, organized to send a rival delegation instructed for Roosevelt",April 1912,"Policemen Stationed at Convention Door To Keep Colored Men Away

LILYWHITEISM WITH AVENGEANCE

Colored Voters Will Send Rival Delegation Instructed for

New Orleans, April 0—At a meeting held here last Friday by white men backing the various Republican presidential candidates, it was agreed to keep the Negro off the State committees and from participation in the party councils. Some of those present were loud in their protests against the effort of emissaries of the Republican National Committee"
st-louis-argus,1920-02-06,1,0,0.52,colored men representing political league called upon presidential candidate for interview,delegation,"A conference of Citizens Liberty League members, Republican City Committee members, and state officials to address complaints about voting fraud, lack of representation in party councils, and discrimination in police and fire department hiring.",St. Louis - Republican City Committee headquarters in the Odd Fellows' Building,"Mayor Kiel, President Lloyd of the Citizens Liberty League, Attorney Homer G. Phillips, Republican City Committee members, state officials, and leading politicians","January 31, 1920 (Saturday night)","CITIZENS LIBERTY LEAGUE APPROVED BY THE PARTY LEADERS IN CONFERENCE

Mayor Says ""You Are Entitled To All You Have Asked For. You Are Going To Get The Recognition Because They Cannot Keep It From You.""

COMPLAINTS SUBMITTED ONLY JUST

COMPLAINTS SUBMITTED ONLY JUST

Right Of Representation In Party Councils Is Conceded. Race Is Entitled To Jurymen, Uniform Policemen, Firemen and Officials In Prect. Polling Places.

The conference of members of the Citizen's League, members of the Republican City "
omaha-monitor,1919-03-08,1,1,0.52,a committee of prominent colored citizens called upon the governor to present a petition,demonstration,Negro officers of the 365th Infantry and related units protested racial discrimination in dining arrangements aboard the Olympic and demanded fair treatment regarding the loss of their regimental colors.,Olympic (ship),"Negro officers of the 365th Infantry, 317th Sanitary Train, 367th Infantry, and 350th F.A.",1919,"That Negro officers of the 365th Infantry, 317th Sanitary Train, 367th Infantry and 350th F. A. were grouped together, irrespective of rank, in a separate dining room on board the Olympic, while white lieutenants, captains and field officers of the same organization, with nurses of enlisted men's rank, Y. M. C. A. secretaries and field clerks were seated in the main dining room with passengers.

That the demand of the Negro officers for fair play in letters to Commander General Charles Gearhardt"
baltimore-afro-american,1913-11-08,1,6,0.52,a committee of prominent colored citizens called upon the governor to present a petition,petition,"A delegation from the National Independent Political League presented President Wilson with a petition containing 10,000 signatures protesting against segregation in federal government departments.",Washington,"W. Monroe Trotter, Rev. Dr. Byron Gunner, Dr. William A. Sinclair, W. Maurice Spencer, Thomas Walker, F. H. M. Murray, and Mrs. Ida Wells Barnett","November 7, 1913","The delegation was composed of W. Monroe Trotter. of Boston; Rev. Dr. Byron Gunner, of Hilburn, N. Y., president of the league; Dr. William A. Sinclair, of Philadelphia, W. Maurice Spencer, of Delaware; Thomas Walker, of the District of Columbia; F. H. M. Murray, of Virginia; and Mrs. 1da Wells Barnett, of Chicago.

A mass meeting under the auspices of the National Independent Political League will be held at the Nineteenth Street Baptist Church tonight, when a report will be made.

MAY LOCATE M"
broad-ax,1917-07-21,1,3,0.52,a committee of prominent colored citizens called upon the governor to present a petition,delegation,"A delegation of African American citizens visited Governor Frank O. Lowden in Springfield, Illinois to demand action against National Guard members who failed to protect Black residents during the East St. Louis race riot.","Springfield, Illinois","Members of the Citizens Committee, Louis B. Anderson, Edward H. Wright, Col. S. B. Turner, and Governor Frank O. Lowden","July 8-9, 1917 (meetings held); July 10, 1917 (delegation visit to Springfield)","It will be recalled that on Sunday afternoon July 8, a largely attended meeting was held at the Negro Fellowship League, 30th and State street and three members of the Citizens Committee was elected at that meeting to visit Springfield, Ill., in connection with the members of the same committee which were selected at the meeting held at Bethel Church, Monday evening, July 9, at which time more than fifty dollars was collected in the wrinkling of an eye to defray the actual expenses of six member"
baltimore-afro-american,1912-07-06,1,2,0.519,delegates to annual conference demands equal rights and attacks lynching,mass_meeting,"The National Independent Political League held its fifth annual session to protest race disfranchisement, Jim Crow cars, peonage, and Republican connivance at racial discrimination.","Philadelphia, Zion Baptist Church",Members of the National Independent Political League,"July 5, 1912","The United Colored Democracy will occupy the property at 122 W 36 street as a clubhouse. The house was recently purchased by Robert N. Wood, head of the New York Colored Democracy, for $110 000.

Among the prominent visitors who have been in the city during the past [week are Dr. Booker T. Washington, Emmet J. Scott, Warren Logan, all of the Tuskegee Institute; Major R. R. Wright; of Georgia; Dr. W. S. Scarborough, and Rev. Charles S. Morris, of Norfolk, Va.

N. B. Dodson, of the American Press "
omaha-monitor,1921-07-14,1,0,0.52,first national conference on lynching examining causes and demanding federal action,mass_meeting,"A convention of the National Association for the Advancement of Colored People held to address racial violence, lynching, and conditions of Black Americans in the South, with speakers advocating for federal anti-lynching legislation.","Detroit, Michigan - Central High School","National Association for the Advancement of Colored People (NAACP) convention attendees; U.S. Bratton, former United States Attorney for the Eastern District of Arkansas","June 27, 1921","SUSPECT NATIONAL PLOT TO INCITE RACE Man Convicted In Alleged Duluth Assault Case Denied New Trial-Judge Admits Evidence Weak

SLOGAN: ""The Monitor In Every Home And I'll Help Put It There""

Former United States District Attorney Bratton Who Was Driven Out of Arkansas for His Defense of Exploited Black Americans in Connection With the Elaine ""Race War,"" Depicts Conditions Throughout Southern States And Declares That Peonage is General.

ANTI-LYNCHING LAW ASKED BY CONGRESS

Federal Legislation Ba"
twin-city-star,1916-10-21,1,5,0.52,delegates to annual conference demands equal rights and attacks lynching,declaration,"A formal declaration of opposition to race segregation and color caste policies in government and public institutions, signed by a committee of prominent African American leaders.",Federal government and national,"Dr. William A. Sinclair, Joseph H. Stewart, Reverdy C. Ransom, Thomas Walker, Isaac B. Allen, Rev. J. Edward Kent, Mrs. Ida B. Wills Barnett, and E. T. Morris",1916-10-21,"Our government is founded upon the principle of equal freedom and exact justice to all men, but we now have just the opposite to equal freedom and exact justice to ten millions of loyal colored American citizens. We have been told that the race segregation in work and wages, race humiliation and race insult in the executive departments of the government were inaugurated by subordinates, yet they have not been disturbed.

Owing to the alarming extension of color caste, reaching even the right of "
omaha-monitor,1917-05-19,1,4,0.519,delegates to annual conference demands equal rights and attacks lynching,mass_meeting,"The NAACP held its annual meeting in Washington to express the attitude and aspirations of Negro organizations regarding the war and racial justice, including demands for officer training opportunities.",Washington,"Representatives of Negro organizations, the NAACP, and supporters of other races",1917-05-16 and 1917-05-17,"2. The right of our best men to lead troops on the battle, and to receive officers' training in prepareship.

The National Association For the Advancement of Colored People at Its Annual Meeting in Washington, May 16 and 17, Patriotic, But Persistent For Rights.

The representatives of Negro organizations embracing many millions of men, together with their friends and fellow workers of other races, deem it fitting at this critical time in the history of our country and the world to express the a"
richmond-planet,1917-07-21,1,7,0.519,protest to the president against riots and lynchings seeking public word of hope,mass_meeting,A mass meeting held in Chicago to protest against the East St. Louis riots and demand accountability from state officials.,"Chicago, Illinois (3005 South State Street)","100 Negro men, Ferdinand L. Barnett (former assistant state's attorney), A. H. Roberts","July 4, 1917","Chicago, Ill., July 5.—The following is an extract of an article which appeared in the Chicago Daily Tribune, issue July 4.

""Arm yourselves now with guns and pistols,"" said Ferdinand L. Barnett, a former assistant state's attorney, in speaking to 100 Negro men at a mass meeting hold last night to protest against the riots and bloodshed in East St. Louis. The meeting took place at 3005 South State Street.

""Don't buy an arsenal,"" continued Barnett, ""but get enough guns to protect yourselves. You"
denver-star,1914-01-17,1,1,0.519,a committee of prominent colored citizens called upon the governor to present a petition,mass_meeting,"Charles Edward Russell addressed a meeting of 200-300 people calling upon Negroes to unite for their own good, with the association holding an annual election.","New York, Auditorium of United Charities Building","Between two and three hundred persons, Charles Edward Russell",,"Hampton Va. ""Here in Virginia, colored people have a better chance than any where else in the world, to live and improve. We can work out the race problem better in America than any

New York's Oldest Doctor Dead.

New York, Jan. 7.—Dr. C. A. Johnson, the oldest colored physician in the city, died

Calls Upon Negroes To Unite
For Their Own Go

Charles Edward Russell Implores Colored People To Get Together.

Meeting Held in Auditorium of United Charities Building
Evening – Association Holds Annua"
houston-informer,1929-08-10,1,3,0.519,a committee of prominent colored citizens called upon the governor to present a petition,mass_meeting,The Houston Business Men's Club held a meeting where members passed resolutions calling for the discharge of the superintendent of the Houston Negro Hospital.,Houston Medical Center,"Houston Business Men's Club members, colored board of directors","Last month (prior to August 10, 1929)","COLORED BOARD ASKED FOR NEW HOSPITAL HEAD

In view of the fact that certain members of the colored board of directors of the Houston Negro Hospital have been quoted as saying that the fight for the outing of the present superintendent of that institution is being fostered and promoted by ""two, former board members, who are disgruntled because they were not reelected."" The Informer wishes to keep the record straight by showing the temper of the Negro citizens generally of Houston pertaining to th"
colorado-statesman,1910-10-01,1,0,0.519,committee of graduates written condemning jim crow policy and demanding segregation be discontinued,mass_meeting,Negro Baptists' convention unanimously passed a resolution opposing the Panama Exposition in New Orleans unless Jim Crow segregation laws are removed from street cars and trains.,New Orleans,"Negro Baptists' convention delegates, including Rev. S. T. Clanton, Rev. J. F. Thomas, and Rev. George E. Stevens","Saturday morning (September 17, 1910)","THE COLORADO STATESMAN
THE JOURNAL OF THE WEST.

LABOR SHALL BE FREE

RACE COUNTRY PARTY

OPPOSED NEW ORLEANS

For Panama Exposition by Colored Baptist. Uuless Loiusiana Removes Jim Crow cars dnring the meeting. Want other States to remove Jim Crow cars on through Trains and Boats.

VOL. XVII.

OPPOSE
NEW O

For Panama Exposition by C
ana Removes Jim Crow
Want other States to re
through Trains

(New Orleans Item, Sept. 17, 1910.) That New Orleans abolish the ""Jim Crow"" street car regulations dur"
chicago-defender,1923-02-17,1,1,0.519,committee of graduates written condemning jim crow policy and demanding segregation be discontinued,delegation,A committee representing the Council of Christian Churches of Atlanta presented opposition to the state prison board's policy on prisoner flogging.,"Atlanta, Georgia",Council of Christian Churches of Atlanta committee,"February 16, 1923","New York, Feb. 14. — Frederick Storm of 171 Elm street, Yonkers, exited cyclops of the Ku Klux Klan in Yonkers and bleached of Westchester's police court there of carrying a blackjack and was placed on probation. He is to report every Sunday to the court over Matthew Lesnick for three months.

Storm admitted having the blackjack, but said he had a special policeman's badge and a license to carry a blackjack because he did devise a plan to evade an invader company in Yonkers. City Judge Charles W"
washington-tribune,1923-05-19,1,6,0.519,a committee of prominent colored citizens called upon the governor to present a petition,boycott,The Big Brother and Big Sister Fraternity cancelled their social functions at the Roosevelt Hotel in protest of the hotel's refusal to serve a mixed-race delegation.,"Roosevelt Hotel, Washington D.C.",Big Brother and Big Sister Fraternity members,"Wednesday and Thursday (week of May 22, 1923)","The group meeting at the National Museum on Thursday discussed ""Social Health Problems in Rural Communities."" Prof. John Hope; president of Moorehouse College, Atlanta, presided. Eugene Kinkle Jones, executive secretary of the Urban League, spoke on the subject of ""The Negro's Struggle for Health."" This was quite an impressive address.

Tuesday the 22, Mrs. Elsie Johnson McDougald, a teacher in charge of Vocational Guidance, for schools 5, 89; and 105 of New York City, will address the group mee"
new-york-age,1914-07-16,1,7,0.519,a committee of prominent colored citizens called upon the governor to present a petition,delegation,Committees appointed in multiple Southern states presented complaints to railroad companies about discriminatory accommodations for colored passengers as part of 'Railroad Day' observance initiated by Dr. Booker T. Washington.,"Multiple locations including Washington D.C., Cadiz Kentucky, and Louisville Kentucky","Colored ministers, colored agents, and appointed committees representing colored people","July 15, 1914","Committees in Different Sections of the Country Discuss Present Inferior Accommodations for Negroes and Enter Protests

ACT IN SIX STATES OF SOUTH

Some Results from Dr. Booker T. Washington's Efforts to Secure Better Accommodations for Colorad People on Trains and Other Public Conveyances.

WASHINGTON, D. C., July 15. Reports indicate that ""Railroad Day"" observance, suggested and urged by Dr. Booker T. Washington, has not been in vain. It is too soon, however, to make up any definite estimate o"
colorado-statesman,1919-08-30,1,6,0.519,a committee of prominent colored citizens called upon the governor to present a petition,resolution,"The 38th annual convention of the Massachusetts and Maine district of the Grand United Order of Odd Fellows passed resolutions demanding racial equality, enforcement of laws without racial distinction, and voting rights for African Americans in the South.","Springfield, Massachusetts","200 delegates attending the convention, members of the Boston lodge","August 21, 1919","Birmingham, Ala.—No more Negroes will be accepted for service in the navy, according to instructions received at the local navy recruiting station yesterday. Experienced Negro cooks will continue to be enlisted to handle the cooking, but even Negro mess attendants will not be accepted after this date.

The campaign for recruits being waged by the recruiting officers in Alabama is meeting with much success, according to Lieut. Commander J. E. Meredith and a large number of applications are being "
broad-ax,1921-02-05,1,3,0.519,first national conference on lynching examining causes and demanding federal action,petition,"A House Joint Resolution was introduced in the Illinois Legislature calling for Congressional action against lynch law and mob violence, addressing the widespread crime of lynching and the failure of state authorities to prevent or punish it.","Illinois Legislature, Chicago",Member of the Illinois Legislature from the Third Senatorial District,"Tuesday (before February 5, 1921)","CHICAGO, ILL., SATURDAY, PEBRUARY 5, 1921.

Member of the Legislature of Illinois from the Third Senatorial District, who introduced the following House Joint Resolution in the Illinois Legislature, Tuesday, and which passed without one dissenting vote or voice.

MEMORIAL TO CONGRESS-
LYNCH LAW AND MOB
VIOLENCE

House Joint Resolution.

Whereas, There is pending before the House of Representatives of the Congress of the United States, H.R.14097, ""A Bill having for its object and purpose the assu"
baltimore-afro-american,1913-02-22,1,2,0.519,a committee of prominent colored citizens called upon the governor to present a petition,mass_meeting,"Citizens in New Jersey held meetings to protest against a proposed state bill prohibiting interracial marriages, characterizing it as anti-Negro legislation and an opening wedge for further discriminatory laws.","Newark, New Jersey","New Jersey citizens, Dr. Eggleston (former Baltimorean), Governor Blease mentioned as target of criticism","February 21, 1913 (Thursday night meeting in Newark)","HAVE YOU PAID
YOUR SUBSCRIPTION

Volunteer Collectors, Armed With Credentials, Are Out Reminding Tardy Subscribers With $3,500 already paid in, the officials of the Y. M. C. A are making a big effort to secure the remainder of $4,500 due on the first installment of the $31,000 subscribed by the colored people toward a $100,000 building for the Y. M. C. A.

Volunteer collectors, armed with proper credentials, are now visiting tardy subscribers in an effort to collect their subscription. Secretary"
chicago-whip,1920-04-03,1,3,0.519,delegates to annual conference demands equal rights and attacks lynching,petition,"Negro signers of a petition to the Kansas governor requesting requisition papers for the return of Robert Hill, alleged leader in the Elaine uprising, faced threats to their lives.",Arkansas,Jos. W. Booker and other Negroes,"March 28, 1920","Montgomery, Ala., March 29. — Negro voters will not be allowed to participate in the Alabama Democratic primary May 11 under a rulling made today by W. D. Nesbitt, chairman of the state Democratic executive committee. This ruling, it was explained, will not prevent colored voters from exercising the right of suffrage in the general election in November.

""Uncle Tom"" Leaders Tell Lies About I. W. W. In Arkansas.

Little Rock, Ark., March 28, 1920.—I. W. W. literature, which is being circulated am"
broad-ax,1909-08-28,1,5,0.519,colored citizens up in arms and threaten to make trouble against discriminatory practices,boycott,"White residents of Chicago neighborhoods organized a boycott against real estate agents selling or renting houses to African Americans, and engaged in property destruction including window-breaking to intimidate Black occupants.","Kenwood, Hyde Park, and Woodlawn, Chicago","Attorney Francis A. Harper, Hyde Park Protective Association, Hyde Park Improvement Association, and Hyde Park Protective Improvement club members",1909-08-28 (last week referenced in article),"Several Houses Have Been Stoned and Window Lights Broken Out in an Effort to Frighten Away the Colored Occupants.

Voodoo Doctors May Be Brought From St. Louis and Empowered to Put Spells on the Colored Tenants So That They Will Flee From Their Homes.

The good white citizens residing in Kenwood, Hyde Park, and Woodlawn, who are mostly silk stocking Republicans, have recently decided to put their shoulders to the wheel—stand together and make one grand effort against permitting Afro-Americans fr"
chicago-defender,1912-04-20,1,1,0.519,delegates to annual conference demands equal rights and attacks lynching,mass_meeting,A mass meeting of the City Federation of Colored Women's Clubs at Bethel A.M.E. Church featuring noted orator Mary Church Terrell addressing violations of the Fourteenth and Fifteenth Amendments and calling for agitation to arouse the American public's conscience.,"Chicago, Illinois (Bethel A.M.E. Church)","City Federation of Colored Women's Clubs members, Mary Church Terrell (speaker), and other prominent women from club, church, and social life","Monday evening (April 15, 1912 based on publication date of April 20, 1912)","---

---

The Home Edition

AMENDMENTS TRAMPLED UPON LIKE DIRTY RAGS

The City Federation of Colored Women's Clubs Presents Noted Orator at Bethel Church Monday Evening Before the Largest Assemblage of Club Women Ever Gathered On a Like Occasion—Spacious Edifice Filled With Enthusiastic Members in Spring Array, Who Listened Attentively to the Gifted Speaker—Delightful Musical Program.

TIME TO AGITATE—AROUSE CONSCIENCE OF AMERICAN PUBLIC

To Its Duty to the Race—The Fourteenth and Fifteenth Amen"
indianapolis-freeman,1908-01-25,1,5,0.519,a committee of prominent colored citizens called upon the governor to present a petition,petition,"A movement to demand that Northern African Americans be elected as full delegates to the National Convention, supported by an appeal sent throughout the country highlighting the political importance of the Negro vote.",National Convention (multiple Northern states referenced),Northern African American leaders and Negro voters in Northern states,,"***

It has been definitely decided that the Jamestown Exposition will not be reopened this year, and the colored exhibitors have begun to receive their exhibits from Chairman T. J. Calloway and his corps of helpers.

***

Inquiry at the Treasury Department elicits the information that the office of Collector of Internal Revenue is not likely to be abolished in Georgia or combined with that of South Carolina at this time. The many friends of Collector H. A. Rucker will be pleased.

---

That the"
dallas-express,1922-07-08,1,8,0.519,a committee of prominent colored citizens called upon the governor to present a petition,petition,"White citizens of Galveston, Texas presented a petition with approximately 1,870 signatures to city commissioners requesting removal of a Negro bath house and pavilion and segregation of races.","Galveston, Texas","Approximately 1,870 citizens; Lions' Club; Branley Harper; city commissioners; city attorney; mayor",July 24,"Chicago, U. H., July 4—The Douglass Institute, in New York, last month, restocked the Currency, D. R. Caiinger, who is the charter chair of the institution which is the first officially recognized operation by Colored people in any section of the country became a fact. P. W. Chaver, the organizer stuck with the idea, given the Bank is located at 130 North 42nd Street, formerly occupied by the old Woodrow Wilson building, is the chairman, and Dr. M. R. Jackson, P. W. Chaver, John R. E. Jackson, P"
colorado-statesman,1913-11-08,1,0,0.519,committee of graduates written condemning jim crow policy and demanding segregation be discontinued,mass_meeting,A mass meeting of over 4500 people gathered to protest and express indignation against the federal government's segregation policy affecting Negro employees.,Metropolitan church,Over 4500 people including overflow audience of 2500; grandson of William Lloyd Garrison was principal speaker,"October 27, 1913","PATRONIZE MERCHANTS WHO ADV.IN THE PEOPLE'S PAPER

THE COLORADO STATESMAN

THE JOURNAL OF THE WEST.

LABOR SHALL BE FREE!

RACE COUNTRY PARTY

SEGREGATION DENOUNCED

Grandson of William Lloyd Garrison Principal Speaker

VOL. XX.

SEGREG
DENO

Grandson of William Lloyd

Special to COLORADO STATESMAN:

Upwards of 4500 people, including an over flow audience of 2500 gathered in and around the great Metropolitan church on the evening of Monday the 27th of Oct., to emphasize their indignation and pro"
colorado-statesman,1918-08-03,1,6,0.519,protest to the president against riots and lynchings seeking public word of hope,petition,"The National Colored Liberty Congress presented a petition to the government demanding the abolition of lynching and race murder, and subsequently sent telegrams of appreciation to President Wilson for his anti-lynching letter.","Boston, Massachusetts","National Colored Liberty Congress executive committee, National Equal Rights League Boston branch, William Monroe Trotter, Allen W. Whaley O'Connor","July 26-27, 1918","WIRE PRESIDENT THANKS.

Executive Committee of Recent Liberty
(Congress Expresses its Joy
in the Success of the

Boston, Mass., July 27, 1918.

The anti-lynching letter of President Wilson aroused much interest among Negroes. The executive committee of the Colored liberty Congress was asked that motion be the following telegram of appreciation.

""Boston, Mass., July 26, 1918.

To the President, White House, Washington, D.C.

""Sir—The National Colored Liberty Congress, which laid before the gover"
denver-star,1916-09-16,1,2,0.519,colored citizens object to history textbooks and railroad discrimination,mass_meeting,"A National Colored Citizenship Rights Congress called for October 4 in Washington, D.C., organized by the National Equal Rights League to address racial rights issues.","Washington, D.C.",Colored Americans and Equal Rights Committees from various communities,"October 4, 1916","The Denver Star ESTABLISHED 1888

PREJUDICE ATTEMPTED.

Southern Women Quit Boom Because of Negroes

New York, Sept. 12. There was a racial outbreak at the meeting of the women's committee of the Hughes alliance at the Hotel Astor yesterday. Mrs. Leon M. Polachek, a grand-niece of Robert E. Lee the Confederate general, objected to the presence in the room of fifteen Negro members of the committee formed by Mrs. Emily S. A. Page. She left in indignation with several other women who asked that the"
chicago-defender,1919-09-06,1,0,0.519,rioting broke out when a mob attacked the colored section of the city,mass_meeting,Ten thousand citizens gathered at the Eighth Regiment armory to voice condemnation of State's Attorney Machay Hoyne's investigation methods regarding the race riots and to demand his removal.,"Eighth Regiment armory, Chicago","Ten thousand citizens, presided over by Dr. Daniel Payne Jones, addressed by prominent professional and business men","Monday night (September 1, 1919)","Royal Circle of Friends Hold Quadrennial Session

FLAY HOYNE AS RIOT PROSECUTOR

Citizens Ask Removal of the State's Attorney in Punishing Race Rioters

Ten thousand citizens met Monday night at the Eighth Regiment armory and voiced their sentiments in severe condemnation of the vicious methods used by Machay Hoyne in his alleged investigation of those who participated in the recent race riot. The meeting was presided over by Dr. Daniel Payne Jones and was addressed by a number of prominent prof"
st-louis-argus,1921-10-14,1,1,0.519,colored men representing political league called upon presidential candidate for interview,mass_meeting,The Pan-African Congress held in Paris where delegates and speakers collectively addressed grievances of Black peoples worldwide and demanded justice and representation.,"Paris, France - Hall of the Civil Engineers","International delegates including M. Diagnoe, M. Candace (French Chamber of Deputies member), M. Bergardie (Haitian Minister to France), Doctor DuBois, and representatives from Haiti, India, Portugal, and other nations","1921 (Congress sessions, final session described here)","Speakers At Pan-African Congress Declare Black Troops Helped Win War And Black Peoples Have Right To Demand Justice

(This is the third one last of the Pan-African Series.)
By Walter F. White
(For the Associated Negro Press)

PARIS, France—The final and closing session was held in the Hall of the Civil Engineers at Park. In the minds and hearts of all the delegates was the pleasant knowledge that they were in France—the country that more nearly than any other believes in and practices ""The Fathe"
new-york-age,1917-05-03,1,1,0.519,colored citizens up in arms and threaten to make trouble against discriminatory practices,delegation,A committee of colored citizens of Galveston appeared before the board of city commissioners to vigorously protest against the lawlessness and violence of United States soldiers toward the colored population.,Galveston,"Colored citizens of Galveston, committee members (including Mr. Anthony), city commissioners, Mayor Fisher","Thursday night (before May 3, 1917)","the matter up with the officers at the fort, and that these officers would put on a provost guard. He said the officers would create a restricted zone for soldiers, and that this zone would be all the territory north of Broadway lying between Twenty-fifth and Thirtieth streets.

""We hold this board responsible for the killings of the week,"" declared Mr. Anthony. ""It should have—provided protection for lawabiding citizens.""

Mayor Fisher said that all efforts were being made to apprehend and puni"
omaha-monitor,1926-07-09,1,0,0.519,delegates to annual conference demands equal rights and attacks lynching,mass_meeting,A mass meeting of the National Association for the Advancement of Colored People where Colonel Theodore Roosevelt addressed a crowd demanding full civic rights and equal opportunities for colored Americans.,Chicago,National Association for the Advancement of Colored People members and Colonel Theodore Roosevelt,1926-07-09,"WELCOME
N.A.A.C.P.

12th Annual Conference

Worthington
Studio
Chicago

By The Associated Negro Press.

LIFTING
LIFT TOO

$2.00 a YEAR — 5 Cents a Copy.

COLORFUL AMERICAN
MUST CIVEN FULL
RIGHTS AS CITIZEN

Colonel Theo Roosevelt Declares
That the holding of Such
Civil Rights Portends
Disaster.

NO HALF-AMERICAN STATUS

Country Cannot Endure Unless All
American Citizens Are accorded
Full Rights and Equal
Opportunities.

Chicago.—Demanding for colored Americans full civic rights and equal opportu"
colorado-statesman,1913-11-08,1,1,0.519,committee of graduates written condemning jim crow policy and demanding segregation be discontinued,mass_meeting,A mass meeting of over 4500 people gathered to protest and express indignation against the federal government's segregation policy toward Negro employees.,Metropolitan church,Upwards of 4500 people including overflow audience; organized by local branch of NAACP with Archibald Grimke as president; speakers included Rev. John Haynes Holmes and others,"October 27, 1913","Grandson of William Lloyd Garrison Principal Speaker

VOL. XX.

SEGREG
DENO

Grandson of William Lloyd

Special to COLORADO STATESMAN:

Upwards of 4500 people, including an over flow audience of 2500 gathered in and around the great Metropolitan church on the evening of Monday the 27th of Oct., to emphasize their indignation and protest against the cowardly policy of segregation which the administration permits to operate against the Negro employees of the Federal government.

Nothing since the "
baltimore-afro-american,1916-10-07,1,0,0.519,delegates to annual conference demands equal rights and attacks lynching,mass_meeting,"The National Colored Citizenship Congress gathered to criticize the Wilson administration's racial policies, segregation, and discrimination, and to advocate for equality before the law and elimination of proscriptions.","Washington, D.C. (John Wesley A. M. E. Zion Church)","Representative citizens from across the country, including Judge B. M. M. Hewlett, Rev. Byron Gunner, and leaders of the National Equal Rights League","October 5-6, 1916 (Wednesday and Thursday)","PUBLISHED
EVERY
SATURDAY

THE AFRICAN AMERICAN

MARYLAND'S BEST
WEEKLY
NEWSPAPER.

VOL. XXV. No. 7

BALTIMORE, SATURDAY, OCTOBER 7, 1916

PRICE THREE CENTS.

RACE CONGRESS FLAYS PREJUDICE

Attitude of the Bourbon South and Discrimination Criticised in Address to the Country

DR. JOHNSON PRESIDES

Representative Citizens Present From Every Section of The Country.

Washington, October 6.—Equality before the law, the elimination of segregation and other proscriptions and a re-affirmation by the who"
dallas-express,1924-09-06,1,0,0.518,delegates to annual conference demands equal rights and attacks lynching,demonstration,"Anti-lynching placards were displayed in the English Capitol, creating a stir in response to lynching in America.",English Capitol (London),Unknown organizers of anti-lynching placard display,,"MATTHEWS OF BOSTON HEADSG.O.P.ACTIVITIES

Organization of Mammoth Machine For Sweeping Coolidge Ticket Into Office Perfected as Campaign Activities

men of Eastern Division; Charles E. According to information coming Mitchell, of West Virginia; Vito from the Republican National Committee, of Virginia; Director of Women's National Committee, National Committee headquarters in Mina Halle M. Brown, Ohio. Direc. Chicago, September 22nd will be held for Publicity and Speakers. Hos. turned into a nati"
